sample_id,id,tweet,predicted_intent,diversity_bucket,human_label,human_escalate,notes
15,refu_473173,@AmazonHelp And then I just had a guy repeatedly interrupt me and tell me that I wouldn’t be getting refunded for 50 minutes before I demanded to speak to a manager at which point he miraculously managed to process the refund but I wasn’t able to keep my prime membership.,refund_request,0,refund_request,Y,
16,refu_2961726,@AmazonHelp I contacted support asking about a missing shipment. Your agent refunded my order without my permission and now refuses to replace the order at sale price because it was refunded.,refund_request,3,refund_request,N,
17,prod_1090518,@AmazonHelp I bought a GoPr from @115821 but it doesn't work. Please can you help/get in touch. I can't go through the returns centre.,product_issue,3,general_complaint_or_feedback,N,
18,devi_684806,@AmazonHelp hi currently wondering  why i can't cancel my Amazon echo plus which btw i ordered to be delivered tonight but now says Tuesday. And it won't let me cancel when i could order the 2nd gen and get it tonight.,device_and_digital_support,4,general_complaint_or_feedback,Y,
19,deli_735036,"@AmazonHelp Ordered cable I needed urgently for evening delivery, delayed due to “external factors”. Map showed driver 200m away for an hour, making “a delivery before yours”!",delivery_issue,2,general_complaint_or_feedback,Y,
20,acco_2227056,@AmazonHelp can't cancel the membership either as they blocked my account. Unacceptable to block someone yet still charge prime membership!,account_access,0,general_complaint_or_feedback,Y,
21,orde_2540359,@AmazonHelp I am continuously being charged for Amazon Prime which I cancelled BEFORE the trial was over &amp; it says I wasn't charged but was. I tried calling a cust svc number several times and got a bunch of offers but no live person.,order_cancellation,1,order_cancellation,Y,
22,devi_2853681,@AmazonHelp I love my Echo and want to use it in the UK. Will it work there?,device_and_digital_support,4,general_complaint_or_feedback,Y,
23,prim_132567,@AmazonHelp @115851 @115821 Never realized that Amazon would  treat a customer this bad who remained staunchly loyal to it over the past several years. Please let me know how to delete my amazon account and prime membership 2/2,prime_membership,0,prime_membership,Y,
24,deli_989580,"sick of @115830  @AmazonHelp item meant to be delivered on Friday,driver couldn't be arsed getting out of van &amp; marked as nondelivery (1)",delivery_issue,0,general_complaint_or_feedback,N,
25,refu_205990,@AmazonHelp What I need right now is for the money to be refunded to my account and my prime membership canceled.,refund_request,0,general_complaint_or_feedback,N,
26,gene_2693909,"What’s the point of paying for PRIME @AmazonHelp , when I’ve received 3 notifications today informing me that 3 separate items won’t now be delivered within the specified time? This is despite also receiving ‘we will deliver items today &amp; tomorrow’ messages! #amazongoingdownhill",general_complaint_or_feedback,2,general_complaint_or_feedback,N,
27,orde_365601,@AmazonHelp how can i my track my order? my track id number is 20174042201 please check and update,order_status_inquiry,1,order_status_inquiry,N,
28,prim_224370,"@169613 @AmazonHelp He he Amazon prime free with this, itself is worth it :)",prime_membership,4,prime_membership,Y,
29,deli_1433629,@AmazonHelp Found my package but in someone else’s house. The Amazon delivered it  to some other person and upated as handed over to customer directly.,delivery_issue,1,general_complaint_or_feedback,N,
30,retu_2768251,@AmazonHelp I cannot load a return label so how am I meant to return an item?,return_or_exchange,4,general_complaint_or_feedback,Y,
31,devi_897093,"@TwitterSupport @115821 @AmazonHelp 
The artwork for my new Paperback edition isn't showing like my Kindle is. Can you help please? Thanks.",device_and_digital_support,1,device_and_digital_support,Y,
32,orde_2346179,"Amazon @AmazonHelp really don't want me to find my courier details. Package not delivered, I don't care what the online tracking says. I've been here all day. Help pls?",order_status_inquiry,4,order_status_inquiry,N,
33,devi_1565902,@AmazonHelp @115850 Pls enable voice profiles and Alexa calling in India.,device_and_digital_support,3,general_complaint_or_feedback,N,
34,orde_2279704,"@115821 @AmazonHelp 

I can't cancel my order for these earphones.
#batman https://t.co/HlZZeUtt3b",order_cancellation,4,general_complaint_or_feedback,N,
35,devi_839373,Hey @115825 / @AmazonHelp : Wieso stehen mir Filme für Prime Video in der Amazon App nicht zur Verfügung? BS: iOS 11,device_and_digital_support,0,general_complaint_or_feedback,N,
36,prod_2570421,@AmazonHelp I am getting a damaged product plz help amazon my registered mobile no. Is 7018265542 plz call so that u can understand me better,product_issue,1,product_issue,Y,
37,refu_1399876,"Yo @115821 @AmazonHelp , somebody ordered glasses with my gc and the seller is no longer on amazon...how do I get a refund??",refund_request,2,refund_request,Y,
38,acco_2294242,@AmazonHelp I cannot access my account - I have 2 accounts w same email from long ago. Can't reset my password for my account that has prime,account_access,4,account_access,Y,
39,deli_1135017,WTF @115830 @AmazonHelp! Does this look like reception/safe place? Twice in 2 days! Almost as bad as when driver opened my parcel! #fail https://t.co/lYUaIrRhlf,delivery_issue,4,delivery_issue,N,
40,prod_466696,@AmazonHelp Is there some way I can send/report to you what seems to be a fake email that claims to be from you?,product_issue,4,general_complaint_or_feedback,Y,
41,prod_2540367,"@1404 @AmazonHelp @115850 A GENUINE COMPANY ONCE  IS SURE THAT  PRODUCT IS FAKE, WLD HV ASKD  ITS SUPLIERS TO REPLACE IT IMEDIATELY &amp; WOULD HAV SUSPENDED HIM. HOWEVER.  AMAZON INSTEAD HARASSES ITS CUSTOMERS THEREBY SUPPORTING.  ITS FRAUD SUPPLIERS AS IT IS INVOLVED IN IT",product_issue,0,product_issue,N,
42,orde_1633230,@AmazonHelp if I cancel an order today before it is dispatched do I still get charged?,order_cancellation,2,order_cancellation,Y,
43,retu_244865,"My order @115850 is not delivered and is going to return without any information, attaching screenshot of order details
@AmazonHelp https://t.co/uNE4urPWdV",return_or_exchange,4,return_or_exchange,N,
44,orde_2394422,"@AmazonHelp Hello, I signed up for the free trial of Amazon video £7.99 and now I am unable to locate how to cancel this. Please advise",order_cancellation,1,general_complaint_or_feedback,N,
45,deli_2897532,@AmazonHelp items at depot at 1:40 Monday morning but not loaded onto a van till 10:50 how can the driver get round when his not loaded till nearly mid day? 2/2,delivery_issue,2,general_complaint_or_feedback,Y,
46,acco_1346664,@AmazonHelp I think someone hacked my account??? I got a message from you guys saying thanks for you review of pants I never bought?!,account_access,2,general_complaint_or_feedback,Y,
47,devi_2052166,@AmazonHelp quando vão disponibilizar no Brasil o app Alexa echo?? Comprei fora do Brasil e muito estranha não poder usar se é brasileiro!!,device_and_digital_support,4,general_complaint_or_feedback,Y,
48,refu_2521817,"@AmazonHelp  item not delivered,customer service said to return item for a refund, ummm how? when it was never delivered???",refund_request,4,refund_request,Y,
49,deli_1279187,@AmazonHelp Who do I talk to about your delivery drivers? They keep throwing packages over our business' gate instead of ringing reception.,delivery_issue,3,general_complaint_or_feedback,Y,
50,orde_2011913,@AmazonHelp That makes tracking down actual package--especially if you want to RECEIVE it 1 day--a nightmare. Let people pay more to opt out of this BS,order_status_inquiry,2,order_status_inquiry,Y,
51,ship_304436,@AmazonHelp Wednesday. But another thing that didn't ease with me was that I ordered another game on Monday that was supposed to be 2 day shipping+,shipping_delay_complaint,2,general_complaint_or_feedback,N,
52,prod_2810729,"Hey, @AmazonHelp. How is someone supposed to notify you of bootleg merchandise? You sell probably hundreds of fake band t-shirts that pretend to be licensed by aren't. E.g., https://t.co/10AbI9IJxo",product_issue,0,general_complaint_or_feedback,N,
53,acco_526634,@AmazonHelp Why do you people think I hacked my own account.  2 times in two days I have been locked out after buying Google Play cards.  Walmart never gave me this kind of trouble.  #unhappy,account_access,2,account_access,N,
54,prod_2945464,"Selling defective pieces by organising a #SALES. And not responding to customer's call
@AmazonHelp @115850",product_issue,0,product_issue,N,
55,acco_711649,@AmazonHelp my delivery never came &amp; im locked out my account &amp; it took the money off my card .,account_access,2,account_access,Y,
56,deli_588782,@AmazonHelp I just got a package (a birthday gift for tomorrow) and the packaging and the item itself smell very strongly of smoke. I'm assuming the driver at Intelcom  was smoking in the car and now my gift is ruined.,delivery_issue,1,general_complaint_or_feedback,N,
57,ship_1362435,@amazonhelp I think you guys need some math tutoring. I ordered a halloween costume item and selected Prime 2-day shipping. You guys shipped it UPS 3-Day Select instead. It's really of little use to me to have it delivered on November 1.,shipping_delay_complaint,0,general_complaint_or_feedback,Y,
58,devi_254598,"@AmazonHelp need help 2 cancel Sling tv from my fire stick, moving and need to stop sling for few months pls help",device_and_digital_support,0,device_and_digital_support,Y,
59,devi_2344021,"@AmazonHelp Can two fire sticks be used in the same room, or will the remotes control any unit?",device_and_digital_support,2,device_and_digital_support,N,
60,gene_348626,"@198989 @AmazonHelp From Amazon 
Today you can buy lenovo k8 note at 2000 rs discount for more information click below👇👇👇👇👇👇
https://t.co/LVVx2HdYj6",general_complaint_or_feedback,0,general_complaint_or_feedback,N,
61,retu_2384574,@AmazonHelp this is really very disappointed with your services...as I recieved damaged product and now I have to send it back myself..,return_or_exchange,2,general_complaint_or_feedback,N,
62,retu_686657,Awful @AmazonHelp right now. Item delivered that’s faulty. Try to return and label won’t cover cost of the package. Then in chat with customer service and they disconnect 😡 #HelpPlease,return_or_exchange,3,general_complaint_or_feedback,N,
63,orde_155117,@AmazonHelp Update: I'm still waiting @AmazonHelp. Where is my parcel? https://t.co/vuVWDm9tN1,order_status_inquiry,3,order_status_inquiry,Y,
64,gene_2785944,@AmazonHelp you can’t transfer an amazon balance to a different account? Really?,general_complaint_or_feedback,0,general_complaint_or_feedback,Y,
65,ship_1398888,@AmazonHelp I paid for one day shipping and it's delayed... this doesn't even make sense... https://t.co/WHBtYZxPWU,shipping_delay_complaint,4,shipping_delay_complaint,Y,
66,retu_699473,"@115850 don't understand one day delivery meaning any more, deliver urgent product 2 days late and backs out when asked to return the product. How can they expect consumer to keep the product even if its Amazons fault. @AmazonHelp #NoMoreTrust #Cheat #fraud",return_or_exchange,4,return_or_exchange,N,
67,retu_2349558,@AmazonHelp ordered a fire tablet very slow dark screen lots of issues can I swap with something? Not happy,return_or_exchange,1,general_complaint_or_feedback,Y,
68,gene_1381910,@AmazonHelp Positive thing is that this time they not requested me t fill form which I still confused,general_complaint_or_feedback,3,general_complaint_or_feedback,N,
69,ship_1434040,"Prime
Order 9/15 - Received 9/20
Order 10/3 - Received 10/6
Order 10/25 - Still not here??
WTF are we paying for 2 day shipping @amazonhelp?",shipping_delay_complaint,0,shipping_delay_complaint,Y,
70,prod_787506,@115851 @115850 @AmazonHelp I am really disappointed by the service regarding order # 406-5912107-3797119 #Fake claims #Patheticservice,product_issue,2,product_issue,N,
71,deli_1623414,@AmazonHelp just received an email saying nobody was home  to take a delivery this afternoon.....We certainly were Mr delivery driver 🤥🤥😂,delivery_issue,0,general_complaint_or_feedback,N,
72,prod_2568527,@AmazonHelp what’s the logic of giving fake hopes still your soon ha snot come!!,product_issue,2,general_complaint_or_feedback,Y,
73,acco_461332,"im PISSED i got locked out of my amazon account, called support and they hung up on me!!!!!!!! thanks for nothing @AmazonHelp @115821",account_access,3,general_complaint_or_feedback,Y,
74,acco_2317739,@671948 @AmazonHelp Me too for the pass 48 hours still can’t login in,account_access,1,general_complaint_or_feedback,Y,
75,orde_1086789,amazon showing order status delievered from past 3 days but still waiting to get my order amazon sucks @AmazonHelp,order_status_inquiry,0,order_status_inquiry,Y,
76,prod_1477975,"@AmazonHelp @115850 Tried n tired explaining, IVR still not working, here is the proof 
Amazon.in IVR Malfunction https://t.co/Rd4XgVRlnt",product_issue,3,general_complaint_or_feedback,Y,
77,gene_2966554,@AmazonHelp I have a missing package and cannot seem to find a resolution despite having called Amazon. The phone reps are horrible! -_- Do you have a solution for me???,general_complaint_or_feedback,3,general_complaint_or_feedback,Y,
78,orde_597960,@AmazonHelp funny how my Prume item ordered on Monday never left the seller till Wednesday and still hasn’t arrived. Why pay for Prime?????,order_status_inquiry,2,general_complaint_or_feedback,N,
79,deli_284012,@AmazonHelp @115821 expect me to believe you have no way of contacting a driver and asking them to turn back? They did NOT fail to deliver!,delivery_issue,2,general_complaint_or_feedback,N,
80,acco_1911638,@AmazonHelp I ordered on the 24/11 and received order confirmation email.  I received email from __email__ telling me I need to fax a bank statement verifying my billing address and the last 4 digits of my card. I'm now locked out of account &amp; can't email CS,account_access,0,account_access,N,
81,orde_644826,@AmazonHelp my order is out for delivery through your Pass My Parcel service &amp; according to tracking it's due to be delivered before 8pm...yet it's not even out for delivery yet! What's going on guys!? HELP,order_status_inquiry,2,order_status_inquiry,N,
82,deli_2698955,Why do these delivery drivers keep leaving my packages outside and not ringing my bell? They’d rather walk toy backyard than open my door and leave it inside. I’m so over this. I’ve had too many problems with this company @AmazonHelp,delivery_issue,3,delivery_issue,Y,
83,prim_2672996,"@AmazonHelp please, can you tell me whether the prime membership offer at reasonable rates has already ended in India?  Kindly revert",prime_membership,1,general_complaint_or_feedback,N,
84,prim_2159241,Amazon should use AMZL for non-prime members! Prime members should get guaranteed UPS/FedEx delivery!@115821 @AmazonHelp #pissed,prime_membership,0,general_complaint_or_feedback,Y,
85,acco_2003958,@AmazonHelp my account has not been hacked yet disabled for 5 hours (got an email from account specialist).,account_access,1,account_access,Y,
86,gene_1344459,"@AmazonHelp ordered quantity of 2 of iPhone 6 cover, received only 1.",general_complaint_or_feedback,2,general_complaint_or_feedback,N,
87,orde_1733852,@AmazonHelp @119356 still waiting for the cashback u offered on lg q6 for using sbi card for payment,order_status_inquiry,3,general_complaint_or_feedback,N,
88,acco_2827198,"@AmazonHelp I just bought a laptop on lightning deal, and I've been locked out of my account for all deals on cyber monday, is this how you usually treat long term customer? I've replied to the email.",account_access,2,general_complaint_or_feedback,N,
89,prim_576489,"Order id-405-8180353-2083563 ordered on 1st dec and arriving on 13th dec being a prime member....@115850 what is use of prime membership???
@115850 @AmazonHelp",prime_membership,1,general_complaint_or_feedback,N,
90,prim_1469952,uhh I signed up for an Amazon Prime trial and it fucking charges me 11 bucks like 2 days later wtf? @AmazonHelp,prime_membership,0,prime_membership,Y,
91,orde_2800418,"@AmazonHelp I just bought a digital code about 15-20 minutes ago and it is still, ""Pending Verification."" How long is this going to take?",order_status_inquiry,0,order_status_inquiry,Y,
92,devi_1598767,"There is certain expectation from @115821 , please do not let down customers with such low quality speakers on Echo plus @AmazonHelp",device_and_digital_support,3,device_and_digital_support,Y,
93,prim_2176479,"@AmazonHelp So now again u will pick it up and Provide a replacement in next 2-3 days, which means the actual product gets delivered in 7-8 days against the promise del of 1 day
Whats the point of prime membership then???
And u r not even ready to amend ur policies",prime_membership,2,prime_membership,N,
94,orde_20041,"@AmazonHelp how to stop my prime membership, since i was scammed and you do nothing to me, i need to cancel my membership.",order_cancellation,1,general_complaint_or_feedback,Y,
95,prod_470129,@115850 @AmazonHelp more fake commitments ? lets play it like this then #NeverShopFromAmazon #amazonsucks,product_issue,2,product_issue,N,
96,refu_274737,@AmazonHelp still no refund after 4 and a half days after being delivered back to amazon whats taking so long... my other return after 2 days they completed the refund..,refund_request,1,refund_request,Y,
97,ship_267329,@AmazonHelp amazon I ordered a package on September 14th and paid extra for shipping to get by the 18th. I still don't have the package!,shipping_delay_complaint,2,shipping_delay_complaint,N,
98,prod_1505431,"Hello @AmazonHelp @115850 
Friend of mine got her order in damaged condition. Can you please check https://t.co/U0Q32E6iAC",product_issue,1,general_complaint_or_feedback,N,
99,deli_495810,"@AmazonHelp My order has been ""out for delivery with 6 items to go before yours"" but the map has been in the same place for over 5 hours now. Has the driver given up and gone home?",delivery_issue,2,general_complaint_or_feedback,Y,
100,ship_2371358,@AmazonHelp Need ur help. Content of box exploded during shipping. All damaged inside from shower gel. Box ok. You lost the 1st shipment and 2nd shipment late and damaged. I want new product overnighted. How to contact you?,shipping_delay_complaint,1,general_complaint_or_feedback,Y,
101,prim_1064826,"@AmazonHelp Order#406-4662964-9823557 dtd 14oct. 9 days to order, , 6 days at destination but not delivered. Prime membership. ??",prime_membership,2,general_complaint_or_feedback,Y,
102,prim_2310205,@AmazonHelp if I buy 2nd prime subscription b4 completing my  prime subscription does it give 1 year validity after present validity ends?,prime_membership,3,prime_membership,Y,
103,deli_2969437,@AmazonHelp Also send it to the wrong address and said it was delivered. 2 weeks late.,delivery_issue,1,general_complaint_or_feedback,Y,
104,deli_1208364,"@AmazonHelp I left specific instructions for my delivery, Item was not received and it says delivered.
 Order# 114-6470303-3753861",delivery_issue,1,delivery_issue,Y,
105,prim_254049,"@AmazonHelp I've been trying for the past few days to reinstate my prime membership, but it's still telling me there's an error. Help?",prime_membership,1,general_complaint_or_feedback,N,
106,retu_1084989,"@AmazonHelp @127187 @115851
Order# 405-2964732-9352306
Replacement Not Provided for the Stone Delivery instead of Mobile, Sufferring Loss of 7,500 for Fresh Order. Return Initiated without any Resolution or Compensation. Diwali Gift Ruined by Amazon https://t.co/64EJFlkmL1",return_or_exchange,1,general_complaint_or_feedback,N,
107,orde_643701,"@1840 @AmazonHelp ,Mob no. has been blocked by amazon ,my Odr id-407-4792741-0865122 ,I have requested to cancel my odr last 8 days before",order_cancellation,4,order_cancellation,N,
108,retu_1385269,#sonymobils I prchsd mobile from @115850.After purchased I found some issues on phone.Bocz of wrost return policy in @AmazonHelp nt rtrn https://t.co/aTgPKr5Ufu,return_or_exchange,1,return_or_exchange,N,
109,ship_309483,@AmazonHelp I'm a prime member and I paid extra for next day shipping,shipping_delay_complaint,0,shipping_delay_complaint,Y,
110,acco_2245392,@AmazonHelp My account was blocked by Amazon when I tried to purchase an item (I have no idea why!) and I received an email asking me to send my card statement to a US fax number. I'm in Brazil and I don't have access to fax. Can you please help me to restore my account?,account_access,0,general_complaint_or_feedback,N,
111,retu_1239296,"@AmazonHelp I placed a return of order#405-5827927-7849934 on 5th november, 2017. But it hasn't been picked up yet and no replies came from ur customer service unit. Please help",return_or_exchange,2,general_complaint_or_feedback,Y,
112,orde_114312,Why does amazon take my money but then cancel my order? @AmazonHelp,order_cancellation,4,order_cancellation,Y,
113,gene_2236359,"@AmazonHelp Quand on tombe sur la page de l'artiste, il est parmi les premiers résultats. https://t.co/a1I7nU37WL Je compte bien acheter tout l'album, le prix de la piste achetée ne peut pas être déduit comme chez votre concurrent iTunes ?",general_complaint_or_feedback,4,general_complaint_or_feedback,N,
114,devi_1141902,@AmazonHelp I bought a fire TV stick and as per the offer i was about to get 100GB Airtel broadband data. No data till now @117128,device_and_digital_support,0,general_complaint_or_feedback,N,
115,ship_1068747,"@AmazonHelp Selling a membership with 2 day shipping, then actually providing 3 day shipping is theft of services.",shipping_delay_complaint,4,general_complaint_or_feedback,N,
116,retu_2843771,Since when did @AmazonHelp start charging £3.99 to return an item??,return_or_exchange,4,general_complaint_or_feedback,N,
117,prim_595765,@AmazonHelp glad I pay for my Prime Membership and don't get my 2 day guaranteed shipping. Doubting if prime is even worth it anymore... https://t.co/7E0nUcAUIl,prime_membership,2,prime_membership,Y,
118,gene_1729647,@AmazonHelp Why is my Xbox One Scorpio delayed when I ordered it as soon as it went live?!,general_complaint_or_feedback,2,general_complaint_or_feedback,Y,
119,refu_124005,@AmazonHelp All I want is a refund &amp; the account to be permanently closed. Please.,refund_request,4,refund_request,Y,
120,orde_2418490,@AmazonHelp I’m a little bothered. Ordered #StarWarsBattlefrontII months ago. All my buddies have their copies and mine hasn’t shipped yet. Should I just cancel my order and pick it up at GameStop across the street?,order_cancellation,2,order_cancellation,N,
121,deli_267307,@AmazonHelp Can you tell me how your company thinks it's ok for it's drivers to leave my packages in front of my building &amp; not at my door? https://t.co/1DS3aBGMwh,delivery_issue,3,general_complaint_or_feedback,Y,
122,ship_1950074,"@AmazonHelp I got a notification saying it was available for pick up but it didn't arrive today with the post, even though I paid extra for shipping",shipping_delay_complaint,2,shipping_delay_complaint,N,
123,prim_2522327,Thanks @115821 for having a shipping delay on my order and then keeping my money when I cancel the order. Good looking out for a long time prime member.  @AmazonHelp,prime_membership,2,prime_membership,Y,
124,prim_2665225,@AmazonHelp I am a prime member and I got echo delivered. Do I need extra subscription for amazon music? Pls guide.,prime_membership,3,prime_membership,N,
125,refu_280406,Someone please help me in getting my refund at Amazon. It's been 20 days I cancelled but still no help @115850 @AmazonHelp @115851,refund_request,1,general_complaint_or_feedback,N,
126,gene_851639,@115850 @115821 @AmazonHelp @118702 How much more time do need. Amazon is really unprofessional,general_complaint_or_feedback,1,general_complaint_or_feedback,Y,
127,prim_1415570,"@448964 @AmazonHelp I really think @115821 is really working on new, innovative ways to make our prime memberships worthless",prime_membership,1,general_complaint_or_feedback,Y,
128,orde_1526904,@AmazonHelp If I cancel a purchase made with a visa gift card before it was shipped when will I get my money back?,order_status_inquiry,0,general_complaint_or_feedback,Y,
129,prod_96801,@AmazonHelp Is this a seriously Amazon Email or just a Fake Phishing Email ? The sender email address is inside the red Area. (Iam from Germany) https://t.co/YPQcFF8848,product_issue,4,product_issue,Y,
130,refu_127972,@115821 @115850 @AmazonHelp  Either you’re smoking weed or weed is smoking you ? take a look at these mail sent by your so called customer representatives on the same day. You just extended my refund process from 24hrs to 10 days . #boycottAMAZON . Good bye Amazon. https://t.co/QVeFKu9diQ,refund_request,1,general_complaint_or_feedback,Y,
131,gene_1095215,Is Amazon suffrng from such a COMMON SENSE issue dat if a prdct ws cncled den imposing quantity limt doesn't mk sense.@AmazonHelp  @115850,general_complaint_or_feedback,0,general_complaint_or_feedback,Y,
132,prim_234142,@AmazonHelp i am a prime member. can i buy second year's prime membership subscription in advance?,prime_membership,3,general_complaint_or_feedback,N,
133,gene_726736,@294083 @AmazonHelp ಉಚಿತ ಕನ್ನಡ ಪುಸ್ತಕಗಳಿಗಾಗಿ ಇಲ್ಲಿ ಕ್ಲಿಕ್ ಮಾಡಿ https://t.co/eyq09EllqM,general_complaint_or_feedback,1,general_complaint_or_feedback,N,
134,refu_1477395,"The way @AmazonHelp does customer service is exemplary. Two probs, friendly &amp; efficient contact, items returned, both refunded super fast.",refund_request,4,refund_request,N,
135,retu_1714200,"@AmazonHelp Basically, my shopping experience has declined at amazon. Savings mean nothing when I have to spend extra effort to return your mistakes.",return_or_exchange,0,return_or_exchange,N,
136,deli_2154021,@AmazonHelp Where are my packages? Why do your amazon delivery drivers just throw packages into the complex parking lot and drive away? I'm not the only person here having these issues.,delivery_issue,3,delivery_issue,Y,
137,orde_1350084,"@AmazonHelp Hi, I don't suppose you'd know how long the 23andme DNA test will be on sale in the amazon UK store? Thnx!",order_status_inquiry,0,general_complaint_or_feedback,N,
138,prod_738009,@AmazonHelp Recieved an email from ѕеrνісе24157@ассοunt.аmаzοn.сο.uκ 8s6rsf2fzekoz5hq6jus76j3npp917bzo7eksnrf7g9arw6 obviously fake ❗️❗️ https://t.co/Mh3nj2T2rD,product_issue,4,general_complaint_or_feedback,Y,
139,retu_2459136,@AmazonHelp bought an Amazon iPhone branded iPhone cable 5 weeks ago... it's just randomly stopped working!! Expect more than 5 weeks out of it! Can you exchange it?,return_or_exchange,3,return_or_exchange,Y,
140,retu_1733926,@AmazonHelp got a baby monitor as a gift 2 months ago. It was a bought from amazon and it’s now faulty . I need to send it back pls,return_or_exchange,1,return_or_exchange,N,
141,devi_2560246,"@AmazonHelp @115850  at times my #Echo Dot triggers #Alexa  when i say ""accha"" during a conversation :-)",device_and_digital_support,3,general_complaint_or_feedback,N,
142,gene_2220009,"@AmazonHelp Eu comprei um produto que não chegou, e eu só queria uma resposta.  Tenho que ficar correndo atrás mesmo? Poxa.",general_complaint_or_feedback,4,general_complaint_or_feedback,N,
143,retu_2832946,"I request for return and replacement it's done but from amazon someone say your pincode can't come to collect.
Pincode: 392240
If amazon give permission to change return address.
@AmazonHelp",return_or_exchange,3,general_complaint_or_feedback,N,
144,orde_452003,@AmazonHelp talk to me.  WTF is this???! Package tracking TBA577040572000 https://t.co/3d2CVI5b5D,order_status_inquiry,4,order_status_inquiry,Y,
145,orde_494956,@AmazonHelp RM Tracking shows parcel delivered but postie and me state nothing was posted or received! What is happening? How can this happen? #SoftwareBug #SystemBackDoor #NeverHappenedBefore,order_status_inquiry,4,order_status_inquiry,Y,
146,refu_1267618,@AmazonHelp 2 separate times- once for £1 and another for £39 what's going on? If I cancel prime can I get a refund?,refund_request,0,refund_request,Y,
147,devi_1170086,"@AmazonHelp RU working on the SiriusXM Alexa skill? It shuts down, and/or says my account isn’t linked. Reviews looks like others exp same",device_and_digital_support,3,device_and_digital_support,N,
148,acco_1770531,@AmazonHelp I can't login to my account even after changing my password. I think it's on hold for a security concern? I can't chat for help since I'm not logged in Please help!,account_access,4,general_complaint_or_feedback,Y,
149,orde_1022553,@AmazonHelp Why am I not notified via email when an Amazon Locker item is delivered?  I know these things are tracked. Terrible service.,order_status_inquiry,2,order_status_inquiry,N,
150,orde_2136221,@AmazonHelp I need to cancel my order but I can’t cancel it on the app or website as it just goes blank 😩,order_cancellation,2,order_cancellation,Y,
151,devi_524213,"@AmazonHelp hi, If I buy a Kindle paperwhite from Amazon Mexico, will I be able to buy ebooks from Amazon USA?",device_and_digital_support,1,device_and_digital_support,N,
152,prim_231524,"@AmazonHelp Amazon prime free trial I mean, the program I want to watch is asking for payment. But will this continue after the trial",prime_membership,0,general_complaint_or_feedback,N,
153,devi_1670252,@AmazonHelp Fire TV Stickが起動しません。Stickを電源に繋いでHDMI入力1に差しリモコンに電池を入れましたが、TV画面に　HDMI1 プレーヤー1 (Fire TV Stick)と表示されただけでそれ以上何も出てきません。,device_and_digital_support,2,general_complaint_or_feedback,Y,
